Year,Type,Country,Sex,Age,Fatal,Species
2015,Unprovoked,USA,Male,11.0,No,Bull Shark
2015,Unprovoked,USA,Female,17.0,No,small nurse shark
2015,Unprovoked,USA,Female,12.0,No,Bull Shark
2015,Unprovoked,REUNION,Male,47.0,No,Bull Shark
2015,Unprovoked,USA,Female,13.0,No,nan
2015,Unprovoked,USA,Female,19.0,No,nan
2015,Unprovoked,FRENCH POLYNESIA,Male,19.0,No,Unknownm to Unknown.Unknown m shark
2015,Unprovoked,USA,Male,18.0,No,5' shark
2015,Unprovoked,USA,Male,30.0,No,6' shark
2015,Unprovoked,USA,Male,,No,nan
2015,Unprovoked,USA,Male,10.0,No,nan
2015,Unprovoked,NEW CALEDONIA,Male,50.0,Yes,Bull Shark
2015,Unprovoked,USA,Male,16.0,No,Bull Shark
2015,Unprovoked,USA,Male,18.0,No,Bull Shark
2015,Unprovoked,PUERTO RICO,Male,36.0,No,nan
2015,Unprovoked,SOUTH AFRICA,Male,19.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,52.0,No,White Shark
2015,Unprovoked,SOUTH AFRICA,Male,29.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,32.0,No,White Shark
2015,Unprovoked,USA,Male,68.0,No,6' to 7' shark
2015,Unprovoked,AUSTRALIA,Male,,No,nan
2015,Unprovoked,USA,Male,12.0,No,4' to 5' shark
2015,Invalid,USA,Female,,No,Shark involvement not confirmed
2015,Unprovoked,USA,Male,9.0,No,small shark
2015,Unprovoked,SOUTH AFRICA,Male,23.0,No,White Shark
2015,Unprovoked,USA,Male,43.0,No,4' shark
2015,Provoked,AUSTRALIA,Male,19.0,No,Wobbegong Shark
2015,Unprovoked,USA,Male,47.0,No,nan
2015,Unprovoked,USA,Male,6.0,No,Sandtiger shark
2015,Invalid,AUSTRALIA,Female,37.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,,No,White Shark
2015,Boat,USA,Male,,No,White Shark
2015,Unprovoked,USA,Female,65.0,Yes,nan
2015,Boat,AUSTRALIA,Male,,No,5 m shark
2015,Unprovoked,AUSTRALIA,Male,35.0,No,Unknown m to  3 m shark
2015,Unprovoked,AUSTRALIA,Male,,No,Unknown.8 m shark
2015,Boat,AUSTRALIA,Male,57.0,No,Bull Shark
2015,Provoked,USA,Male,20.0,No,4' shark
2015,Unprovoked,AUSTRALIA,Male,,No,nan
2015,Invalid,AUSTRALIA,Female,,No,Shark involvement not confirmed
2015,Unprovoked,AUSTRALIA,Male,17.0,No,Unknown.5 m shark
2015,Unprovoked,USA,Male,63.0,No,3- to 4-foot shark
2015,Invalid,USA,Male,38.0,No,No shark involvement
2015,Unprovoked,BAHAMAS,Female,34.0,No,White Shark
2015,Unprovoked,SOUTH AFRICA,Male,15.0,No,Ragged Tooth Shark
2015,Unprovoked,USA,Male,12.0,No,A small shark
2015,Unprovoked,ECUADOR,Male,55.0,No,Galapagos shark
2015,Unprovoked,BAHAMAS,Female,23.0,No,6' shark
2015,Unprovoked,AUSTRALIA,Male,41.0,Yes,3.5 to 4 m shark
2015,Unprovoked,REUNION,Female,22.0,Yes,Tiger Shark
2015,Boat,ATLANTIC OCEAN,,,No,White Shark
2015,Unprovoked,FRENCH POLYNESIA,Male,,No,Blacktip
2015,Provoked,MEXICO,Male,36.0,No,nan
2015,Boat,AUSTRALIA,Male,,No,nan
2015,Unprovoked,FRENCH POLYNESIA,Male,9.0,No,Blacktip
2015,Unprovoked,USA,Male,58.0,No,Tiger Shark
2015,Unprovoked,EGYPT,Male,52.0,Yes,Mako Shark
2015,Boat,SOUTH AFRICA,Male,36.0,No,White Shark
2015,Invalid,ITALY,Male,43.0,Yes,Shark involvement not cofirmed
2015,Unprovoked,USA,Male,70.0,No,Bull Shark
2015,Invalid,BRAZIL,Male,23.0,No,No shark involvement
2015,Unprovoked,AUSTRALIA,Male,,No,nan
2015,Unprovoked,USA,Male,48.0,No,Blue
2015,Unprovoked,AUSTRALIA,Male,71.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,26.0,No,White Shark
2015,Unprovoked,USA,Male,32.0,No,nan
2015,Unprovoked,REUNION,Male,13.0,Yes,Bull Shark
2015,Invalid,FRENCH POLYNESIA,Male,,No,No shark involvement
2015,Boat,USA,Male,,No,Hammer Head Shark
2015,Unprovoked,SOUTH AFRICA,Male,42.0,No,White Shark
2015,Unprovoked,USA,Male,21.0,No,5' shark
2015,Unprovoked,USA,Male,21.0,No,"Spinner shark, 5'"
2015,Unprovoked,MOZAMBIQUE,Female,35.0,Yes,nan
2015,Invalid,USA,Male,32.0,No,No shark involvement
2015,Unprovoked,USA,Male,44.0,No,Tiger Shark
2015,Unprovoked,USA,Female,9.0,No,nan
2015,Unprovoked,AUSTRALIA,Male,50.0,No,nan
2015,Unprovoked,USA,Male,25.0,No,Tiger Shark
2015,Boat,SOUTH AFRICA,Male,,No,White Shark
2015,Unprovoked,MOZAMBIQUE,Male,,No,nan
2015,Unprovoked,AUSTRALIA,Male,18.0,No,nan
2015,Unprovoked,USA,Male,22.0,No,nan
2015,Unprovoked,USA,Male,13.0,No,4' to 5' shark
2015,Unprovoked,USA,Male,10.0,No,nan
2015,Unprovoked,MOZAMBIQUE,Male,19.0,No,nan
2015,Unprovoked,USA,Male,22.0,No,Blacktip
2015,Unprovoked,BAHAMAS,Male,26.0,No,Bull Shark
2015,Invalid,USA,Male,39.0,No,Shark involvement not cofirmed
2015,Unprovoked,SPAIN,Female,38.0,No,"Silky shark, 6.5'"
2015,Unprovoked,USA,Male,71.0,No,9' shark
2015,Unprovoked,AUSTRALIA,Male,43.0,No,Bronze Whaler Shark
2015,Unprovoked,ARUBA,Male,58.0,Yes,nan
2015,Boat,AUSTRALIA,,,No,White Shark
2015,Unprovoked,SOUTH AFRICA,Female,22.0,No,nan
2015,Unprovoked,USA,Female,28.0,No,3' to 5' shark
2015,Unprovoked,USA,Male,,No,nan
2015,Unprovoked,USA,Female,,No,nan
2015,Unprovoked,USA,Male,28.0,No,"Spinner shark, 7'"
2015,Unprovoked,AUSTRALIA,Male,20.0,No,Bull Shark
2015,Invalid,USA,Female,9.0,No,Shark involvement not confirmed
2015,Unprovoked,USA,Male,54.0,No,nan
2015,Unprovoked,USA,Male,14.0,No,Blacktip
2015,Unprovoked,BRAZIL,Male,32.0,No,Tiger Shark
2015,Unprovoked,AUSTRALIA,Female,7.0,No,nan
2015,Unprovoked,USA,Male,25.0,No,Blacktip
2015,Unprovoked,USA,Male,15.0,No,4' shark
2015,Unprovoked,USA,Female,10.0,No,3' shark
2015,Unprovoked,USA,Male,22.0,No,White Shark
2015,Invalid,SPAIN,Male,10.0,No,Shark involvement not confirmed
2015,Provoked,USA,Male,57.0,No,Hammer Head Shark
2015,Unprovoked,AUSTRALIA,Male,52.0,No,White Shark
2015,Invalid,USA,Female,35.0,No,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
2015,Invalid,USA,Male,,No,Shark involvement not confirmed
2015,Unprovoked,AUSTRALIA,Male,46.0,Yes,White Shark
2015,Provoked,USA,Male,31.0,No,Mako Shark
2015,Unprovoked,AUSTRALIA,Male,,No,Bronze Whaler Shark
2015,Unprovoked,USA,Male,38.0,No,White Shark
2015,Unprovoked,USA,Male,,No,White Shark
2015,Unprovoked,SOUTH AFRICA,Male,34.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,38.0,No,nan
2015,Unprovoked,REUNION,Male,45.0,No,Bull Shark
2015,Unprovoked,USA,Male,21.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,42.0,No,6' shark
2015,Unprovoked,USA,Female,54.0,No,White Shark
2015,Unprovoked,USA,Male,12.0,No,4' shark
2015,Unprovoked,USA,Male,14.0,No,juvenile shark
2015,Unprovoked,USA,Male,16.0,No,nan
2015,Unprovoked,USA,Male,,No,nan
2015,Unprovoked,USA,Male,20.0,No,nan
2015,Unprovoked,USA,Male,27.0,No,Tiger Shark
2015,Unprovoked,USA,Female,50.0,No,White Shark
2015,Unprovoked,AUSTRALIA,Male,62.0,No,White Shark
2015,Unprovoked,USA,Male,,No,4' shark?
2015,Unprovoked,THAILAND,Female,37.0,No,small shark
2015,Provoked,USA,Male,29.0,No,Hammer Head Shark
2015,Unprovoked,FIJI,Male,,No,Tiger Shark
2014,Unprovoked,USA,Female,14.0,No,nan
2014,Unprovoked,BRAZIL,Male,43.0,No,nan
2014,Unprovoked,USA,Male,16.0,No,"Sandbar shark, 3' to 4'"
2014,Unprovoked,AUSTRALIA,Male,39.0,No,Bronze Whaler Shark
2014,Unprovoked,JAPAN,Male,43.0,No,nan
2014,Unprovoked,USA,Female,37.0,No,Blacktip
2014,Unprovoked,USA,Female,22.0,No,Bull Shark
2014,Unprovoked,AUSTRALIA,Male,,No,nan
2014,Unprovoked,AUSTRALIA,Female,29.0,No,Bull Shark
2014,Unprovoked,FRANCE,Male,,No,3m shark
2014,Provoked,AUSTRALIA,Male,,No,Lemon Shark
2014,Unprovoked,USA,Female,38.0,No,nan
2014,Provoked,AUSTRALIA,Male,10.0,No,"Tawney nurse shark, Unknownm"
2014,Unprovoked,USA,Male,,No,nan
2014,Unprovoked,AUSTRALIA,Male,15.0,No,nan
2014,Unprovoked,AUSTRALIA,Male,,No,nan
2014,Unprovoked,BAHAMAS,Male,42.0,No,"Caribbean reef shark, 7' to 8'"
2014,Boat,ST. MARTIN,Male,48.0,No,Oceanic whitetip shark'
2014,Unprovoked,USA,Male,19.0,No,4' to 5' shark
2014,Provoked,USA,Male,,No,White Shark
2014,Unprovoked,USA,Male,14.0,No,nan
2014,Unprovoked,USA,Male,,No,nan
2014,Invalid,BAHAMAS,Male,63.0,Yes,Shark involvement not confirmed
2014,Unprovoked,USA,Male,39.0,No,4' shark
2014,Unprovoked,USA,Male,61.0,No,6' to 8' shark
2014,Unprovoked,SPAIN,,,No,Angel shark
2014,Unprovoked,USA,Female,44.0,No,nan
2014,Unprovoked,USA,Male,8.0,No,nan
2014,Unprovoked,AUSTRALIA,Male,35.0,No,"white shark, Unknown5'"
2014,Unprovoked,USA,Male,9.0,No,nan
2014,Unprovoked,USA,Male,12.0,No,Shark involvement not confirmed
2014,Invalid,USA,Male,,No,No shark involvement
2014,Unprovoked,USA,Male,,No,Possibly juvenile tiger shark
2014,Boat,NEW ZEALAND,,,No,White Shark
2014,Sea Disaster,JAPAN,Male,31.0,No,nan
2014,Unprovoked,NEW ZEALAND,Male,24.0,No,7-gill shark
2014,Provoked,AUSTRALIA,Male,,No,Unknownm shark
2014,Unprovoked,NEW ZEALAND,Male,28.0,No,7-gill shark?
2014,Provoked,TRINIDAD & TOBAGO,Male,,No,nan
